year,month,format,sst_mean,t2m_mean,d2m_mean,wind_speed_mean,deltaT_mean,n_hours
1995,06,grib,302.9331359863281,301.634765625,297.74468994140625,5.41745138168335,-1.298375964164734,720
1995,07,nc,301.3736877441406,299.804443359375,297.3785705566406,7.264632701873779,-1.569200038909912,744
1995,08,grib,300.7333984375,299.52996826171875,297.0831298828125,5.83255672454834,-1.203412413597107,744
1995,09,grib,301.62847900390625,299.7012023925781,296.5177001953125,4.240975379943848,-1.927274703979492,720
1995,10,grib,302.2747802734375,300.62652587890625,295.96600341796875,3.387234687805176,-1.6482322216033936,744
1995,11,grib,301.174560546875,299.2937927246094,291.51171875,3.137533187866211,-1.8807477951049805,720
1995,12,grib,300.1038818359375,297.84039306640625,290.6439819335937,3.428964853286743,-2.26350474357605,744
1996,01,nc,299.2828369140625,296.9566650390625,290.0028076171875,3.7985386848449703,-2.326172113418579,744
1996,02,grib,299.4169006347656,297.911376953125,290.0594482421875,3.6865501403808594,-1.5055019855499268,696
1996,03,grib,300.5261535644531,300.0254211425781,292.6684875488281,3.804992437362671,-0.5007343292236328,744
1996,04,grib,301.0426940917969,300.383544921875,294.00421142578125,4.081198692321777,-0.6591317653656006,720
1996,05,grib,302.30340576171875,301.3621826171875,295.7610168457031,4.53107500076294,-0.941259741783142,744
1996,06,grib,302.15985107421875,300.8891296386719,297.5699157714844,5.345883369445801,-1.2707061767578125,720
1996,07,nc,300.8937683105469,299.4320373535156,296.9980163574219,7.128819465637207,-1.4617410898208618,744
1996,08,grib,300.0145263671875,298.8089904785156,296.3287658691406,6.504558563232422,-1.2055284976959229,744
1996,09,grib,301.0744934082031,299.2798156738281,296.2709045410156,3.8227193355560303,-1.7946298122406006,720
1996,10,grib,301.2397155761719,299.5639343261719,294.9692687988281,3.952329874038696,-1.6757676601409912,744
1996,11,grib,300.22491455078125,298.3945007324219,292.1340026855469,3.6314752101898193,-1.8304322957992556,720
1996,12,grib,300.17584228515625,297.9205627441406,290.5409851074219,3.873693227767944,-2.255276679992676,744
1997,01,nc,299.4934997558594,296.48974609375,288.27569580078125,3.886376142501831,-3.0037388801574707,744
1997,02,grib,298.66265869140625,296.7120056152344,288.3553771972656,3.875255823135376,-1.9506280422210691,672
1997,03,grib,299.9164428710937,299.45660400390625,291.847900390625,3.7660083770751953,-0.45986407995224,744
1997,04,grib,301.4008178710937,299.8992919921875,293.1833801269531,3.561896800994873,-1.5015202760696411,720
1997,05,grib,302.1712341308594,301.1738586425781,295.3917236328125,4.375499248504639,-0.9973583221435548,744
1997,06,grib,302.72119140625,300.6256103515625,297.5413513183594,5.820472717285156,-2.095547199249268,720
1997,07,nc,301.8049621582031,300.05548095703125,297.5978698730469,7.902939796447754,-1.7494611740112305,744
1997,08,grib,301.0907592773437,299.42041015625,296.9578857421875,7.479055881500244,-1.6703516244888306,744
1997,09,grib,301.7727966308594,299.6322631835937,296.1888122558594,3.596348285675049,-2.1405324935913086,720
1997,10,grib,302.394775390625,300.5547180175781,295.06475830078125,2.42083477973938,-1.8400678634643557,744
1997,11,grib,302.4156799316406,300.03790283203125,294.3285217285156,2.653584241867065,-2.3777875900268555,720
1997,12,grib,300.6476135253906,297.2323303222656,290.9843444824219,3.5499563217163086,-3.4153075218200684,744
1998,01,nc,300.23028564453125,297.1645812988281,290.0414733886719,3.6008126735687256,-3.0657384395599365,744
1998,02,grib,299.7645568847656,297.3877258300781,289.2200622558594,4.048954010009766,-2.376819372177124,672
1998,03,grib,299.6878662109375,298.7284240722656,291.45672607421875,3.52055025100708,-0.9594646096229552,744
1998,04,grib,301.9707336425781,301.3142395019531,294.9086303710937,3.82721757888794,-0.656511127948761,720
1998,05,grib,303.4250183105469,302.73492431640625,297.11260986328125,4.293094635009766,-0.6901075839996338,744
1998,06,grib,303.04266357421875,301.4106140136719,297.9756164550781,5.777425765991211,-1.6320326328277588,720
1998,07,nc,301.7538757324219,300.0696716308594,297.51568603515625,6.9671311378479,-1.6842063665390017,744
1998,08,grib,301.4853820800781,299.90887451171875,297.3630065917969,5.631668567657471,-1.5765132904052734,744
1998,09,grib,301.92169189453125,299.9736022949219,296.9420471191406,4.494231700897217,-1.9481048583984373,720
1998,10,grib,302.0602722167969,300.03765869140625,295.8788452148437,3.6192703247070312,-2.02262544631958,744
1998,11,grib,301.5050354003906,299.3614501953125,292.92919921875,2.9242053031921387,-2.1435742378234863,720
1998,12,grib,299.99249267578125,297.7065124511719,289.9131774902344,3.873147964477539,-2.285973072052002,744
1999,01,nc,299.1669006347656,296.33819580078125,288.4950561523437,3.86150860786438,-2.8287124633789062,744
1999,02,grib,299.53472900390625,298.33502197265625,291.1835327148437,3.6949691772460938,-1.199711799621582,672
1999,03,grib,300.0890808105469,299.55242919921875,291.47857666015625,4.233335971832275,-0.5366211533546448,744
1999,04,grib,301.5274353027344,300.7290344238281,294.5739440917969,3.9776155948638916,-0.798372745513916,720
1999,05,grib,302.268310546875,301.052734375,296.15179443359375,4.548091888427734,-1.2155722379684448,744
1999,06,grib,301.92791748046875,300.1835021972656,297.1813049316406,6.22358512878418,-1.7444418668746948,720
1999,07,nc,300.94989013671875,299.4813537597656,296.9437255859375,7.75926399230957,-1.4685455560684204,744
1999,08,grib,300.7605895996094,299.2720642089844,296.58001708984375,6.543154716491699,-1.4885436296463013,744
1999,09,grib,301.5404052734375,299.39788818359375,296.38641357421875,4.621217727661133,-2.1425232887268066,720
1999,10,grib,302.1944580078125,300.1781005859375,295.3554992675781,3.008025884628296,-2.0163686275482178,744
1999,11,grib,301.31414794921875,299.444580078125,291.9033508300781,3.6422674655914307,-1.8696014881134033,720
1999,12,grib,299.9258117675781,297.505126953125,289.45269775390625,3.633012294769287,-2.4206535816192627,744
2000,01,nc,299.7533874511719,297.3748779296875,289.7201232910156,4.0561628341674805,-2.3785085678100586,744
2000,02,grib,299.1348571777344,296.7728576660156,288.89813232421875,3.5280890464782715,-2.361994981765747,696
2000,03,grib,299.5871276855469,298.4707336425781,290.4381103515625,3.5106682777404785,-1.116409420967102,744
2000,04,grib,301.481201171875,300.7642822265625,295.00018310546875,4.024476528167725,-0.7168992757797241,720
2000,05,grib,302.3656921386719,301.0438232421875,296.6061706542969,4.61082649230957,-1.3218908309936523,744
2000,06,grib,302.3536071777344,300.478515625,297.49981689453125,5.83452033996582,-1.8750851154327397,720
2000,07,nc,301.25860595703125,299.59423828125,296.76983642578125,7.603568077087402,-1.664345383644104,744
2000,08,grib,301.0395812988281,299.4745483398437,296.71649169921875,6.369440078735352,-1.5650683641433716,744
2000,09,grib,301.5176086425781,299.8395080566406,296.3760986328125,3.9716451168060303,-1.6781046390533447,720
2000,10,grib,302.7154846191406,300.7013244628906,295.9716186523437,2.2655837535858154,-2.014145612716675,744
2000,11,grib,301.9219055175781,299.9880676269531,292.25732421875,3.2372891902923584,-1.933839201927185,720
2000,12,grib,300.27734375,297.8959350585937,289.0364990234375,3.68401837348938,-2.381394863128662,744
2001,01,nc,299.4002685546875,296.9627990722656,289.00494384765625,4.239725589752197,-2.4374797344207764,744
2001,02,grib,299.1854553222656,297.28497314453125,289.0161437988281,4.087900161743164,-1.900509595870972,672
2001,03,grib,299.89019775390625,298.4497985839844,291.69854736328125,3.653485059738159,-1.4404274225234983,744
2001,04,grib,301.45037841796875,300.9115905761719,294.228759765625,3.498486280441284,-0.538805365562439,720
2001,05,grib,302.4601745605469,301.4308166503906,296.56268310546875,5.03611421585083,-1.029350996017456,744
2001,06,grib,302.0736694335937,300.3867492675781,297.2874755859375,6.957043647766113,-1.686900973320007,720
2001,07,nc,301.02410888671875,299.31219482421875,296.8045959472656,7.744349479675293,-1.7119137048721311,744
2001,08,grib,300.591064453125,298.9887390136719,296.5782165527344,6.636044025421143,-1.6022950410842896,744
2001,09,grib,301.4037475585937,299.5941772460937,296.3884582519531,3.5202651023864746,-1.809577465057373,720
2001,10,grib,302.05059814453125,300.359130859375,295.6391296386719,3.638175010681152,-1.6915103197097778,744
2001,11,grib,302.09356689453125,300.0665283203125,292.1918334960937,3.602872610092163,-2.027003288269043,720
2001,12,grib,301.3115234375,298.5422668457031,290.45611572265625,3.800315380096436,-2.7692575454711914,744
2002,01,nc,300.1383361816406,296.6307678222656,287.9512634277344,4.184952259063721,-3.507572889328003,744
2002,02,grib,299.36822509765625,297.9227905273437,289.856201171875,4.035141944885254,-1.4453833103179932,672
2002,03,grib,300.5894775390625,299.80047607421875,292.1258544921875,3.9353883266448975,-0.7890080213546753,744
2002,04,grib,302.19586181640625,301.3280944824219,294.5585327148437,4.014514446258545,-0.8677709102630615,720
2002,05,grib,303.16314697265625,302.3487854003906,296.9556884765625,4.992918014526367,-0.8143540024757385,744
2002,06,grib,303.2709045410156,301.1412658691406,297.3768615722656,6.203811168670654,-2.1296088695526123,720
2002,07,nc,301.67559814453125,300.0707397460937,296.9339294433594,7.833281993865967,-1.60486900806427,744
2002,08,grib,300.83953857421875,299.1826171875,296.58270263671875,7.36572265625,-1.6569191217422483,744
2002,09,grib,301.35650634765625,299.3788757324219,295.96636962890625,3.816885709762573,-1.977651596069336,720
2002,10,grib,302.8519897460937,301.2395324707031,295.3476257324219,2.357980251312256,-1.612428903579712,744
2002,11,grib,302.2193603515625,300.12841796875,291.8402709960937,2.9630656242370605,-2.090967893600464,720
2002,12,grib,301.1700744628906,298.45526123046875,290.5057983398437,3.506121873855591,-2.7147862911224365,744
